,Inventory_Mean,Median Sale Price_Mean,Days on Market_Mean,Inventory_Var,Median Sale Price_Var,Days on Market_Var
Austin,6567.335877862595,311.87786259541986,32.10687022900763,2375870.932472108,8187.569583088664,150.8654139753377
Dallas,13396.068702290077,273.7022900763359,35.6793893129771,12150398.43370523,5284.64145625367,148.26564885496188
